sku,compatible_with,manufacturer
,,
,,
,,
231016,"23.10.16 ESWOOD SMARTWASH, 231014","HOBART, ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH"
,,
,,
,,
,,
36492,,BRACTON
,,
,,
37676,,BRACTON
,,
,,
,,
,,
37677,,BRACTON
,,
,,
,,
,,
5000869,,MACH
,,
,,
,,
,,
69890,,NORRIS MADISON
,,
,,
73710,,ESWOOD
,,
,,
743448,,HOBART
,,
,,
8.09.33,,ESWOOD SMARTWASH
,,
,,
8.09.44,80944,ESWOOD SMARTWASH
,,
,,
,,
,,
80296,,HOBART
,,
,,
80889,,HOBART
,,
,,
,,
,,
80944,,ESWOOD SMARTWASH
,,
,,
81000,,HOBART
,,
,,
897540-2,,HOBART
,,
,,
,,
,,
897545-1,00-897545-001,HOBART
,,
,,
,,
,,
,,
897560-2,,HOBART
,,
,,
,,
,,
999298-1,,NORRIS MADISON
,,
,,
Z213073,"Z213073000, 12008750 FAGOR",FAGOR
,,
,,
,,
,,
300026,,LAMBER
,,
,,
162-55-159,,NORRIS
,,
,,
22.40.04,,
,,
,,
224002,,HOBART
,,
,,
224003,,HOBART
,,
,,
224004,22.40.041 ESWOOD SMARTWASH,"HOBART, ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH"
,,
,,
224005,,HOBART
,,
,,
224023,,
,,
,,
224999,,
,,
,,
31171,,BRACTON
,,
,,
32Z0860,,ANGELO PO
,,
,,
60030478,,WASHTECH
,,
,,
60030479,,WASHTECH
,,
,,
224030,,
,,
,,
926049,,HOBART
,,
,,
SS-154,,ESWOOD
,,
,,
Z203023,"Z203023000, 12023802, Z603032000 FAGOR",FAGOR
,,
,,
Z223005,"Z223005000, 12023805 FAGOR",FAGOR
,,
,,
Z713002,"Z713002000, 12023804 FAGOR",FAGOR
,,
,,
40.00.453P,,RATIONAL
,,
735-2C,,VARIOUS
,,
735-3C,,VARIOUS
,,
C06D01,,VARIOUS
,,
C06D10,,VARIOUS
,,
60030080,60030081,WASHTECH
,,
SMC22,,VARIOUS
,,
SS-103,,VARIOUS
,,
SS-104,,VARIOUS
,,
SS-108,,VARIOUS
,,
SS-236,,ESWOOD
,,
01-240096-4,01-240096-004 HOBART,HOBART
,,
,,
035-06-044,PF-508P ESWOOD,"ESWOOD, NORRIS"
,,
,,
,,
48714,,ZANUSSI/ELECTROLUX
,,
,,
100-093,,
,,
,,
10263,,RHIMA
,,
,,
60040050,50000054 RHIMA,"WASHTECH, RHIMA"
,,
,,
,,
10650,"3052320 ANGELO PO, 50020110 RHIMA","ANGELO PO, RHIMA"
,,
,,
115-100-255,PF-448P  ESWOOD,"ESWOOD, NORRIS"
,,
,,
,,
12527,50000057 RHIMA,RHIMA
,,
,,
12528,50000061 RHIMA,RHIMA
129059,,HOBART
,,
,,
140007,,HOBART
,,
,,
140036,,NORRIS MADISON
,,
,,
143173,,HOBART
,,
,,
,,
,,
,,
150-10-089,,NORRIS
,,
,,
159-77-588,,NORRIS
,,
,,
160734,C160734,WASHTECH
,,
,,
170946,C170946,WASHTECH
,,
,,
226800-1,,HOBART
,,
,,
226816,,HOBART
,,
,,
228643,,HOBART
,,
,,
